cimc,type,hostName,dns1,dns2,ntp1,ntp2,vnicsAdd,uplinkPorts,pcieOrder,chassisSerial
172.20.106.21,ntnx,ntnx01,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.22,ntnx,ntnx02,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.23,ntnx,ntnx03,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.1.228,hx,hx01,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.1.229,hx,hx02,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.1.230,hx,hx03,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.1.231,hx,hx04,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.41,ucs,rhel01,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.42,ucs,vapic,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.1.20,hx,cg6101,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.2.20,hx,cg6102,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.3.20,hx,cg6103,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.11,ocp,ocp01,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.12,ocp,ocp02,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,
172.20.106.13,ocp,ocp03,172.16.10.100,172.20.1.254,172.20.1.254,172.16.20.253,eth8;eth9,Port-3;Port-4,2.0;2.1,